fname|lname|age|moincome
Jasmine|Frank|18|8337.28
Cleo|Schneider|57|2987.06
Halee|Collier|20|7298.37
Wyoming|Hurley|63|3066.44
Catherine|Hensley|56|9846.23
Kristen|Kelley|27|507.91
Rinah|Wynn|38|1418.68
Megan|Valencia|18|4858.93
Lee|Bernard|37|4554.31
Candice|Kelly|55|304.71
Quincy|Lang|53|1591.07
Nelle|Bowers|32|2819.42
Wynne|Daniel|25|9693.12
Darrel|Reyes|67|9483.21
Unity|Lane|46|3831.68
Aurelia|Petersen|81|5869.27
Nelle|Charles|54|3559.69
Alana|Gross|27|5903.09
Dakota|Byers|83|8287.36
Daryl|Alford|59|5977.05
Shea|Barton|69|5721.61
Madeline|Vega|34|862.70
Hedda|Patrick|44|3843.29
Belle|Barton|36|862.24
Robin|Rush|38|1130.12
Urielle|Hester|49|7271.39
Inga|Townsend|64|3343.47
Tamekah|Navarro|20|5324.26
Dahlia|Beard|32|7044.27
Kathleen|Patrick|44|5795.76
Brooke|Carson|75|9284.21
Sybill|Mathews|64|3840.29
Whilemina|Greene|41|6945.66
Zelda|Burton|43|9463.30
Hadassah|Nolan|66|1442.28
Clementine|Barr|81|1474.49
Hedda|Bray|81|6735.48
Calista|Holt|69|7179.70
Ignacia|Mcfadden|22|6458.32
Leigh|Eaton|32|1406.39
Lysandra|Gallagher|47|2194.84
Susan|Huber|85|1173.76
Alana|Colon|79|8525.30
Maile|Stout|27|8570.55
Venus|Ferrell|26|3892.88
Nelle|Fitzgerald|29|889.59
Laurel|Maldonado|72|470.63
Ignacia|Peterson|81|9212.01
Urielle|Barrera|61|5906.10
Donna|Peck|80|9638.56
Christine|Carney|44|2893.87
Lareina|Ryan|68|2093.48
Erin|Cohen|44|9761.85
Hayley|Gomez|46|9999.48
Raya|Collins|44|6262.81
Brittany|Palmer|45|1033.72
Keely|Buckner|65|2422.84
Isadora|Craig|36|2028.09
Ariana|Vang|65|58.96
Sophia|Miranda|59|4205.12
Ava|Delacruz|37|9429.70
Melodie|Clayton|59|2464.52
Florence|Wise|70|2777.70
Macey|Levy|46|6213.54
Riley|Crane|31|3835.92
Fiona|Alford|61|4058.91
Quincy|Black|76|5001.68
Cathleen|Serrano|85|1856.90
Jamalia|Schwartz|57|9818.26
Mikayla|Meadows|72|2338.54
Petra|Whitehead|54|5746.89
Oprah|Gould|60|107.73
Cally|Fox|21|7955.37
Rebekah|Whitney|75|826.90
Hadley|Roberts|61|1040.73
Astra|Oliver|48|6001.74
Renee|Glenn|72|525.10
Uma|Serrano|62|1740.35
Ariana|Herring|55|5217.76
Sade|Huffman|43|894.69
Morgan|Jenkins|49|1424.66
Amaya|Snow|82|2929.45
Ashely|Berger|60|8982.59
Evelyn|Bernard|67|1173.47
Zorita|Jordan|18|1091.44
Clare|Slater|69|4662.94
Xantha|Kelley|77|369.06
Uma|Burch|45|899.28
Courtney|Mccullough|52|2136.70
Brenna|Lewis|41|2811.32
Jayme|Jordan|34|4042.18
Maite|Marsh|67|5026.10
Shaine|Castro|56|2857.98
Emma|Guzman|64|9039.66
Yoshi|William|35|9501.39
Paloma|Mcleod|76|7202.12
Kessie|Hawkins|30|4425.92
Linda|Blair|48|8740.67
Brenda|Brewer|39|9717.84
Kristen|Landry|69|5798.65
